title,organization,department,track,domain,description,published,maxTeams,order
Student Innovation - Transportation and Logistics (Hardware),AICTE,,Hardware,Transportation,Student innovation challenge addressing challenges related to city resources transport and logistics inviting hardware solutions within the theme of transportation and logistics from students.,true,,114
Student Innovation - Disaster Management (Hardware),AICTE,,Hardware,Open Innovation,Student innovation challenge in disaster management encompassing risk mitigation and planning across various phases of a disaster organized by AICTE and MIC-Student Innovation with a hardware category focus.,true,,115
Student Innovation - Smart Education (Hardware),AICTE,,Hardware,Education,Student innovation challenge in Smart Education aiming to enhance learning through digital technologies making learning more effective efficient flexible and comfortable for students.,true,,116
Student Innovation - Toys and Games (Hardware),AICTE,,Hardware,Open Innovation,Student innovation challenge to design and develop innovative toys and games focusing on conceptualization and hardware development within the toys and games theme.,true,,117
Student Innovation - Space Technology (Hardware),AICTE,,Hardware,Open Innovation,Student innovation challenge for space-related travel and activities such as spaceflight and exploration organized by AICTE and MIC-Student Innovation with a theme centered around space technology hardware.,true,,118
Student Innovation - Agriculture FoodTech and Rural Development (Software),AICTE,,Software,Agriculture,Student innovation challenge to develop software solutions to enhance India's agricultural sector including managing and processing agricultural produce organized by AICTE targeting student innovation.,true,,119
Student Innovation - Blockchain and Cybersecurity (Software - Track 2),AICTE,,Software,Open Innovation,Student innovation challenge to leverage decentralized and distributed ledger technology for innovative software solutions particularly in blockchain cryptocurrencies and NFTs exploring how this technology can transform various sectors.,true,,120
Student Innovation - Clean and Green Technology (Software),AICTE,,Software,Waste Management,Student innovation challenge in clean and green technology specifically addressing waste management and sanitation developing software solutions to improve waste segregation disposal and sanitation systems.,true,,121
Student Innovation - Fitness and Sports (Software),AICTE,,Software,Open Innovation,Student innovation challenge to generate innovative software ideas to enhance fitness activities and promote a healthy lifestyle finding solutions that assist individuals in staying fit.,true,,122
Student Innovation - Heritage and Culture (Software),AICTE,,Software,Open Innovation,Student innovation challenge to generate innovative software ideas that highlight India's cultural heritage and traditions organized by AICTE and MIC-Student Innovation targeting student participation.,true,,123
Student Innovation - MedTech BioTech HealthTech (Software Track 2),AICTE,,Software,Health,Student innovation challenge fostering innovation in cutting-edge technology particularly in healthcare and biotechnology driven by evolving trends and population growth encouraging student participation in developing innovative solutions.,true,,124
Student Innovation - Miscellaneous Tertiary Sectors (Software Track 2),AICTE,,Software,Open Innovation,Student innovation challenge to generate software technology ideas for various tertiary sectors including Hospitality Financial Services Entertainment and Retail organized by AICTE and MIC-Student Innovation.,true,,125
Student Innovation - Renewable and Sustainable Energy (Software),AICTE,,Software,Open Innovation,Student innovation challenge for innovative software ideas to improve the management and generation of renewable and sustainable energy sources enhancing efficiency in this area using web and cloud technologies.,true,,126
Student Innovation - Robotics and Drones (Software),AICTE,,Software,Open Innovation,Student innovation challenge to design software for drones and robots to address challenges in India such as medical emergencies and search and rescue led by AICTE fostering student innovation in robotics-related software.,true,,127
Student Innovation - Smart Automation AI (Software Track 2),AICTE,,Software,Industry & MSME Innovation,Student innovation challenge in technology specifically using AI to explore resources and gain insights for advancements leveraging AI for smart automation and transformation using data analytics.,true,,128
Student Innovation - Smart Vehicles (Software),AICTE,,Software,Transportation,Student innovation challenge to develop intelligent software for the commutation sector organized by AICTE and MIC-Student Innovation with a theme centered around smart vehicles using AI and ML.,true,,129
Student Innovation - Travel and Tourism (Software),AICTE,,Software,Open Innovation,Student innovation challenge to develop innovative software solutions to improve the tourism industry including hotels and travel services boosting the current state of these industries.,true,,130
Student Innovation - Transportation and Logistics (Software),AICTE,,Software,Transportation,Student innovation challenge addressing challenges in city resources transport and logistics inviting software-based solutions for urban issues from students.,true,,131
Student Innovation - Disaster Management (Software),AICTE,,Software,Open Innovation,Student innovation challenge in disaster management encompassing risk mitigation and planning before during and after disasters organized by AICTE and MIC-Student Innovation categorized under software.,true,,132
Student Innovation - Smart Education (Software),AICTE,,Software,Education,Student innovation challenge in Smart Education aiming to enhance learning through digital technologies making learning more effective efficient flexible and comfortable for students using web and mobile applications.,true,,133
Student Innovation - Toys and Games (Software),AICTE,,Software,Open Innovation,Student innovation challenge to design and develop innovative software toys and games focusing on conceptualization and creation within the toys and games theme.,true,,134
Student Innovation - Space Technology (Software),AICTE,,Software,Open Innovation,Student innovation challenge for space-related travel and activities such as spaceflight and exploration organized by AICTE and MIC-Student Innovation with a theme centered around space technology software.,true,,135
Real-time based pressure measurement device to optimize orthotic design and patient outcomes,Ministry of Social Justice & Empowerment (MoSJE),,Hardware,Health,Develop a real-time pressure measurement device Spinobar for spinal orthoses using a sensor array to provide non-invasive real-time data on pressure distribution enabling personalized orthotic adjustments and biomechanical research as a cost-effective solution.,true,,136
Smart Foldable Aluminium Axillary Crutch with IoT Integration for Enhanced Mobility and Rehabilitation,Ministry of Social Justice & Empowerment (MoSJE),,Hardware,Health,Develop a smart foldable axillary crutch using lightweight aluminum incorporating IoT and sensor technology with shock absorption ergonomic design and a mobile app for real-time feedback and fall detection for enhanced mobility and rehabilitation.,true,,137
Development of a Smart Blind Stick for Enhanced Mobility and Safety of Visually Impaired Persons,Ministry of Social Justice & Empowerment (MoSJE),,Hardware,Health,Develop an affordable smart blind stick for visually impaired individuals integrating sensors GPS and IoT providing real-time obstacle detection navigation and an emergency SOS feature to enhance mobility safety and independence.,true,,138
Development of an Affordable Upper Limb Prosthetic Terminal Device for Partial Hand Amputees,Ministry of Social Justice & Empowerment (MoSJE),,Hardware,Health,Develop an affordable functional upper limb prosthetic terminal device for partial hand amputees particularly targeting low-income individuals in India utilizing a push-button mechanism and servo motor-driven gear system focusing on cost-effectiveness and ease of repair.,true,,139
Compact and Portable Soft Insert Contouring Device for 3D-Printed Prosthetic Sockets,Ministry of Social Justice & Empowerment (MoSJE),,Hardware,Health,Develop a compact portable handheld device to contour soft inserts for 3D-printed prosthetic sockets eliminating the need for traditional molds and bulky equipment improving accessibility and efficiency in resource-constrained settings.,true,,140
Dextra - switch-controlled wrist-hand orthosis for enhanced functional independence,Ministry of Social Justice & Empowerment (MoSJE),,Hardware,Health,Design and develop a switch-controlled wrist-hand orthosis using an ESP32 microprocessor and servo motor to provide active control for grasping and releasing objects improving independence in daily activities as a low-cost user-friendly portable device.,true,,141
Loan Utilization Tracking via Mobile,Ministry of Social Justice & Empowerment (MoSJE),,Software,Open Innovation,Develop a mobile app for loan beneficiaries to upload geo-tagged photos/videos of assets purchased with loan funds validated by AI with offline functionality and remote review/approval by State Agency officers to reduce fraud and improve efficiency.,true,,142
Beneficiary Credit Scoring with Income Verification Layer for Direct Digital Lending,Ministry of Social Justice & Empowerment (MoSJE),,Software,Open Innovation,Develop an AI/ML-based credit scoring model for beneficiaries of concessional loans integrating repayment behavior with income assessment using consumption-based metrics classifying beneficiaries into risk bands and enabling direct digital lending for eligible individuals.,true,,143
Identification of Infrastructure Amenities and Service Gaps in SC-Majority Villages for Adarsh Gram Declaration,Ministry of Social Justice & Empowerment (MoSJE),,Software,Open Innovation,Develop a system to identify infrastructure amenity and service gaps in Scheduled Caste majority villages to facilitate development into Adarsh Grams using GIS and data analytics providing real-time project status and a data-driven mechanism for prioritizing interventions.,true,,144
Digital Mechanism for Beneficiary Identification under Grant-in-Aid Component,Ministry of Social Justice & Empowerment (MoSJE),,Software,Open Innovation,Develop a digital mechanism to improve beneficiary identification and tracking for the PM-AJAY grant program addressing inclusion/exclusion errors poor outcome tracking and fragmented data to enhance transparency accountability and livelihood opportunities.,true,,145
Mapping of Implementing and Executing Agencies across PM-AJAY Components,Ministry of Social Justice & Empowerment (MoSJE),,Software,Open Innovation,Develop a centralized mapping system for implementing and executing agencies within the PM-AJAY program to streamline communication improve accountability and optimize fund flow through a digital repository and improved oversight.,true,,146
Modalities for implementation of Direct Benefit Transfer under Centrally Sponsored Scheme for PCR Act and PoA Act,Ministry of Social Justice & Empowerment (MoSJE),,Software,Open Innovation,Develop tech-enabled solutions to improve DBT processes for victims of caste-based discrimination under the PCR and PoA Acts ensuring accurate identification real-time tracking data security transparency and accessibility with national database integration.,true,,147
Transliterations tool for street signs,AICTE,,Software,Open Innovation,Develop a mobile app that can transliterate street signs from any script in India to another to help people unfamiliar with a particular script to read road signs in different regions improving accessibility for travelers and local communities.,true,,148
Instruments in observational Astronomy,AICTE,,Software,Open Innovation,Develop software to generate the dimensions of ancient Indian astronomical instruments yantras for any given latitude and longitude in India used for timekeeping and tracking celestial objects for educational and research purposes.,true,,149
Identify the mudras in Bharatiya natya forms,AICTE,,Software,Open Innovation,Develop algorithms using machine learning to recognize mudras hand gestures from images or videos in Indian dance forms expanding beyond existing work on Kathakali to cover multiple dance forms.,true,,150
Chandas Identifier,AICTE,,Software,Open Innovation,Develop a program to identify the type of Chandas rhythm in a given Shloka verse based on the arrangement of short and long syllables using principles of Chandas Shastra involving binary numbers and combinatorial mathematics.,true,,151
Real-Time AI/ML-Based Phishing Detection and Prevention System,AICTE,,Software,Open Innovation,Develop a real-time phishing detection and prevention framework using AI/ML NLP and graph-based analytics to address the ineffectiveness of current anti-phishing systems against sophisticated and evolving cyber threats.,true,,152
AI-Driven Next-Generation Firewall for Dynamic Threat Detection and Zero Trust Implementation,AICTE,,Software,Open Innovation,Develop an AI-powered Next-Generation Firewall integrating deep learning NLP and graph-based anomaly detection for intelligent security enforcement and Zero Trust implementation addressing limitations of traditional firewalls against advanced cyber threats.,true,,153
Mitigating National Security Risks Posed by Large Language Models in AI-Driven Malign Information Operations,AICTE,,Software,Open Innovation,Develop a framework to detect analyze and mitigate the misuse of LLMs in malicious information operations incorporating AI machine learning and cyber defense methodologies to address national security risks.,true,,154
Automated Optical Inspection based IC marking to identify fake marking,Bharat Electronics Limited (BEL),,Software,Industry & MSME Innovation,Develop an automated optical inspection system to capture and verify IC markings against OEM specifications to prevent counterfeit components from entering the production line in high-volume electronics manufacturing reducing delays and costs.,true,,155
Self-Healing Computing Elements,Bharat Electronics Limited (BEL),,Hardware,Open Innovation,Design an embedded system with redundant pathways and reconfigurable logic to autonomously detect and bypass faulty circuit sections in real-time creating a self-healing computing platform that maintains uninterrupted operation without manual intervention.,true,,156
Designing an Efficient Algorithm for Coordinated Swarm Engagement among Autonomous Drones to neutralize adversarial drone swarm,Bharat Electronics Limited (BEL),,Hardware,Open Innovation,Develop a decentralized swarm maneuver algorithm for autonomous drones to neutralize adversarial drone swarms and protect ground assets enabling collaborative engagement of hostile drones functioning even in communication-denied environments.,true,,157
Temple and Pilgrimage Crowd Management for Somnath Dwarka Ambaji Pavagadh,Government of Gujarat,,Software,Open Innovation,Develop technology-driven solutions to manage large crowds at pilgrimage sites in Gujarat addressing overcrowding safety and inefficient resource allocation to improve the pilgrim experience ensuring safety and convenience.,true,,158
Smart Sabarmati Riverfront and Urban Water Bodies Management,Government of Gujarat,,Software,Waste Management,Develop smart solutions for the Sabarmati Riverfront and other urban water bodies to address water quality degradation waste management and safety concerns using IoT AI GIS and data analytics to create innovative scalable solutions.,true,,159
AI and IoT Powered System for Real Time Elephant Movement Detection and Prevention of Human-Elephant Conflict in Chhattisgarh,Government of Chhattisgarh,,Software,Open Innovation,Develop an AI and IoT-powered system to detect elephant movement in real-time alert communities and prevent human-elephant conflict in Chhattisgarh integrating various sensors utilizing AI/ML for detection and prediction and providing alerts via mobile apps and dashboards.,true,,160
Enhancing farmer productivity through innovative technology solutions,Ministry of Agriculture & Farmers Welfare (MoA&FW),,Software,Agriculture,Develop innovative technology solutions under the Digital Agriculture Division to enhance farmer productivity focusing on agriculture food technology and rural development.,true,,161
LunaBot - Autonomous Navigation of Robot for Lunar Habitats,Indian Space Research Organisation (ISRO),,Hardware,Open Innovation,Develop a ROS-based autonomous robot for lunar habitats that can navigate map and monitor the environment performing maintenance tasks in a simulated lunar environment to reduce astronaut workload and ensure habitat safety.,true,,162
Enhancing OpenAI GPT-OSS with Multimodal Vision Capabilities extensible to ISRO EO Data,Indian Space Research Organisation (ISRO),,Software,Open Innovation,Enhance OpenAI's GPT-OSS with multimodal vision capabilities enabling it to process and reason over images with alignment of vision embeddings with the LLM extensible to ISRO Earth Observation data for land cover classification and environmental monitoring.,true,,163
Optical-Guided Super-Resolution for Thermal IR Imagery,Indian Space Research Organisation (ISRO),,Software,Open Innovation,Develop a deep learning pipeline to generate high-resolution thermal IR imagery by fusing thermal and optical data creating super-resolved thermal maps that maintain temperature accuracy while capturing spatial details addressing multi-sensor alignment and modality fusion challenges.,true,,164
Transformer based end-to-end Web Application Firewall pipeline,Indian Space Research Organisation (ISRO),,Software,Open Innovation,Build a transformer-based Web Application Firewall pipeline to detect anomalies in web traffic supporting both batch and streaming log ingestion continuous model updates and demonstrating live detection of malicious requests.,true,,165
Conversational SIEM Assistant for Investigation and Automated Threat Reporting using NLP,Indian Space Research Organisation (ISRO),,Software,Open Innovation,Build an NLP-powered assistant for ELK-based SIEMs to enable conversational investigations and automated report generation translating natural language queries into SIEM queries supporting multi-turn interactions and presenting results in various formats.,true,,166
Neural Net based Android Application for Real-Time Fish Catch Identification Health and Volume Estimation,Indian Space Research Organisation (ISRO),,Software,Agriculture,Develop an Android application using AI to identify fish species estimate their health and volume and store results with geotagging working offline in low-connectivity environments and providing instant verification of catch for various stakeholders.,true,,167
MAITRI - An AI Assistant for Psychological and Physical Well-Being of Astronauts,Indian Space Research Organisation (ISRO),,Software,Health,Develop a multimodal AI assistant MAITRI to monitor the emotional and physical well-being of astronauts using audio-video inputs providing psychological support and adaptive conversations to maintain balanced emotional state and report critical issues to ground.,true,,168
AI/ML based models to predict time-varying patterns of error between uploaded and modelled values of satellite clock and ephemeris parameters,Indian Space Research Organisation (ISRO),,Software,Open Innovation,Develop AI/ML models to predict time-varying errors in satellite clock and ephemeris parameters for GNSS satellites using a seven-day dataset to predict errors at 15-minute intervals focusing on accuracy across various prediction horizons.,true,,169
Use of mobile phone measurements to provide safe autonomous navigation on the roads,Indian Space Research Organisation (ISRO),,Software,Transportation,Develop a positioning algorithm using raw measurement data from Android mobile phones to enable safe autonomous navigation sharing navigation data between phones detecting proximity and potential collisions and generating warnings in real-time.,true,,170
Short term forecast of gaseous air pollutants ground-level O3 and NO2 using satellite and reanalysis data,Indian Space Research Organisation (ISRO),,Software,Waste Management,Develop a short-term forecasting model for ground-level ozone and nitrogen dioxide in urban areas like Delhi using satellite data and reanalysis data preprocessing data training machine learning models and evaluating against ground-based measurements.,true,,171
Quantum Secure Email Client Application,Indian Space Research Organisation (ISRO),,Software,Open Innovation,Develop a secure email client application QuMail integrating Quantum Key Distribution to enhance email security compatible with existing email servers allowing users to exchange emails with attachments securely over untrusted networks.,true,,172
AI/ML based Auto Evaluation of R&D proposals received at NaCCER CMPDI Ranchi,Ministry of Coal (MoC),,Software,Industry & MSME Innovation,Develop an AI/ML-based system to automate the evaluation of research proposals for NaCCER the R&D arm of CIL assessing novelty performing financial checks and generating objective evaluation scores to replace the time-consuming manual process.,true,,173
Intelligent Mobile Safety Companion for Mine Workers,Ministry of Coal (MoC),,Software,Open Innovation,Develop an AI-powered mobile application to improve safety in Indian mining operations providing role-based safety prompts engaging safety videos and a hazard reporting module to address safety violations and accidents.,true,,174
Smart PPE Compliance Monitoring and Reporting System for Underground Coal Mines,Ministry of Coal (MoC),,Software,Open Innovation,Develop a smart system to monitor and ensure PPE compliance for mine workers in underground coal mines using computer vision or RFID to verify PPE in real-time generate reports and alert non-compliance improving safety and legal compliance.,true,,175
AI enabled cyber incident and safety web portal for defence,Ministry of Defence (MoD),,Software,Open Innovation,Develop an AI-enabled cyber incident and safety web portal for defense personnel their families and veterans that securely ingests complaints analyzes them using AI/ML provides alerts and mitigation steps and generates risk-ranked dashboards for CERT-Army.,true,,176
Secure closed group communication platform over public mobile communication networks for defence personnel,Ministry of Defence (MoD),,Software,Open Innovation,Develop a secure communication platform for defense personnel and their families operating over public networks with end-to-end encryption controlled group membership and prevention of data leakage.,true,,177
AI-Powered DPR Quality Assessment and Risk Prediction System for MDoNER,Ministry of Development of North Eastern Region (MoDoNER),,Software,Industry & MSME Innovation,Develop an AI-powered system to assess quality of Detailed Project Reports for infrastructure projects using NLP and ML to analyze DPRs identify gaps predict risks and provide a user-friendly dashboard for decision-makers.,true,,178
Design of a Sustainable Low-Cost Geocell Road System for Landslide-Prone Rural Areas in North East India,Ministry of Development of North Eastern Region (MoDoNER),,Hardware,Transportation,Design a sustainable and low-cost geocell road system for landslide-prone rural areas in North East India utilizing locally available materials withstanding harsh conditions and being deployable by local communities to improve road stability and rural connectivity.,true,,179
Hot metal and Steel Ladle Tracking by auto capturing Ladle numbers and displaying location,Ministry of Steel (MoS),,Hardware,Industry & MSME Innovation,Automate the tracking of hot metal and steel ladles in steel plants by automatically capturing their numbers and displaying real-time location to replace manual tracking improve efficiency and enable better decision-making based on ladle usage data.,true,,180
Torpedo Ladle Container Position feedback and control of over tilting based on TLC balance Hot metal,Ministry of Steel (MoS),,Hardware,Industry & MSME Innovation,Develop a system to provide operators with real-time display of the Torpedo Ladle Car tilt position for safer and more controlled pouring operations addressing the lack of real-time tilt position feedback and preventing spillage or overfilling.,true,,181
AI-Based Dynamic Contact Resistance Measurement Analysis for EHV Circuit Breakers,Ministry of Power (MoP),,Software,Industry & MSME Innovation,Develop an AI-driven diagnostic framework for EHV circuit breakers using Dynamic Contact Resistance Measurement data to analyze DCRM signatures detect abnormalities predict potential faults and provide maintenance recommendations for power transmission systems.,true,,182
AI-Driven Frequency Response Analysis for Transformer Diagnostics via Unified Multi-Format Software,Ministry of Power (MoP),,Software,Industry & MSME Innovation,Develop an AI-powered software to analyze Frequency Response Analysis data from power transformers to detect faults handling various data formats performing automated analysis using machine learning and providing actionable insights for maintenance.,true,,183
Development of AI/ML enabled Digital Twin for EHV 400/220 kV Substation,Ministry of Power (MoP),,Software,Industry & MSME Innovation,Develop an AI/ML-enabled Digital Twin for EHV substations to improve monitoring diagnostics and optimization integrating diverse data sources modeling asset behavior and creating a visualization interface for operational insights.,true,,184
Predicting Project Costs and Timeline,Ministry of Power (MoP),,Software,Industry & MSME Innovation,Develop a machine learning model for POWERGRID to predict cost and timeline overruns for its projects identifying key factors and dependencies impacting project completion to avoid delays in projects of national importance.,true,,185
Forecasting materials demand with machine learning for supply chain planning procurement and inventory optimization,Ministry of Power (MoP),,Software,Industry & MSME Innovation,Develop a solution for forecasting material demand for Power Grid projects predicting material quantities based on factors like budget project locations and taxes to minimize costs avoid project delays and optimize supply chain planning.,true,,186
Intelligent Recommendation System for Personalized Individual Development Plans,Ministry of Power (MoP),,Software,Industry & MSME Innovation,Create an AI-powered system to generate personalized Individual Development Plans for employees at Power Grid Corporation of India analyzing employee profiles and target role requirements to identify skill gaps and recommend tailored development activities.,true,,187
Smart Helpdesk Ticketing Solution for IT Services,Ministry of Power (MoP),,Software,Industry & MSME Innovation,Develop a centralized AI-powered helpdesk ticketing system for POWERGRID to improve employee satisfaction by unifying ticket submission automating resolution integrating with existing platforms classifying tickets using NLP and intelligently routing them.,true,,188
Surveillance during extreme weather condition,Ministry of Home Affairs (MHA),,Hardware,Open Innovation,Design a portable surveillance camera capable of operating in adverse weather conditions like fog haze and darkness to identify human-sized targets at significant distances transmit live video record data and integrate with augmented reality displays.,true,,189
AI and ML enabled video analysis and interpretation,Ministry of Home Affairs (MHA),,Software,Open Innovation,Develop an AI/ML-powered software solution to automate video analysis from surveillance systems identifying objects tracking movements with minimal human intervention to analyze vast amounts of video data and identify potential threats.,true,,190
AI-based UFDR Universal Forensic Extraction Device Report Analysis Tool,Ministry of Home Affairs (MHA),,Software,Open Innovation,Develop an AI-based tool for law enforcement to analyze UFDR reports containing large amounts of data from digital devices allowing investigators to use natural language queries to search data highlight key findings and generate easy-to-understand reports.,true,,191
AI-Powered Personalized Learning Path Generator,Ministry of Skill Development and Entrepreneurship (MSDE),,Software,Education,Develop an AI-powered system to generate personalized learning paths for vocational training in India considering learners' profiles career aspirations and industry demands recommending courses micro-credentials and training opportunities with continuous updates.,true,,192
Blockchain-Based Skill Credentialing System,Ministry of Skill Development and Entrepreneurship (MSDE),,Software,Open Innovation,Develop a blockchain-based platform for issuing and verifying vocational skill certificates in India addressing forgery and delays enhancing trust and interoperability with secure tamper-proof digital credentials integrated with existing national platforms.,true,,193
IoT and AI-Enabled Skill Training Equipment Monitoring,Ministry of Skill Development and Entrepreneurship (MSDE),,Software,Industry & MSME Innovation,Design and implement an IoT and AI-based system to monitor vocational training equipment in real-time tracking usage health parameters detecting faults enabling predictive maintenance and providing usage analytics to improve training quality and reduce costs.,true,,194
Micro-Credential Aggregator Platform,Ministry of Skill Development and Entrepreneurship (MSDE),,Software,Education,Create a Micro-Credential Aggregator Platform to consolidate and manage micro-credentials from various sources providing a unified learner profile enabling validation stackability and easy access for employers and institutions.,true,,195
AI-Powered Multilingual Content Localization Engine for Skill Courses,Ministry of Skill Development and Entrepreneurship (MSDE),,Software,Education,Develop an AI-powered multilingual content localization engine for vocational training materials in India translating and adapting content into multiple Indian languages considering cultural contexts and industry-specific terminology.,true,,196
Robotic Floating Hyperspectral Radiometer Platform for Monitoring Chlorophyll and Plastic Pollution in Aquatic Environments,Ministry of Earth Sciences (MoES),,Hardware,Open Innovation,Develop a robotic floating platform equipped with a hyperspectral radiometer to monitor chlorophyll concentration and detect plastic pollution in aquatic environments collecting spectral data and providing real-time data for water quality monitoring and pollution mapping.,true,,197
Cybersecurity Framework for Rural Digital Banking,Government of Odisha,,Software,Open Innovation,Develop a cybersecurity framework for digital banking in rural areas focusing on fraud detection and user authentication that is lightweight and compatible with low-end devices and limited internet connectivity.,true,,198
Application of EHS Simba drills for safer faster alternative to conventional pneumatic drilling in underground mining,Ministry of Mines,,Hardware,Open Innovation,Replace conventional pneumatic Simba drills with Electric Hydraulic System based drills in underground mining to improve drilling speed safety energy efficiency and compatibility with automation compared to older technology.,true,,199
Prashiskshan - An app for Academia Industry Interface,Government of Jammu and Kashmir,,Software,Education,Develop an app to streamline the internship process through student-industry-college tie-up under the New Education Policy NEP 2020 addressing the failure of internship systems in colleges.,true,,200
AI/ML-based Decision Support System for optimizing rake formation strategies for SAIL from Bokaro Steel Plant,Ministry of Steel,,Software,Industry & MSME Innovation,Develop an AI/ML-based decision support system to optimize rake formation strategies for SAIL focusing on movements from Bokaro Steel Plant dynamically forming optimal rake plans minimizing logistics costs and ensuring efficient material allocation.,true,,201
AI-Enabled Logistics Optimizer for Cost-Optimal Vessel Scheduling and Port-Plant Linkage in Steel Supply Chain,Ministry of Steel,,Software,Transportation,Develop an AI-powered system to optimize vessel scheduling and port-plant logistics for a steel supply chain minimizing transportation costs handling various constraints predicting delays and integrating data from existing sources.,true,,202
Efficient Energy use in Iron Ore Mining Operations,Ministry of Steel,,Software,Open Innovation,Improve energy efficiency in iron ore mining operations specifically in crushing and grinding processes to reduce energy consumption operational costs and environmental impact through AI-driven optimization process simulation and renewable energy integration.,true,,203
Development of a Virtual Reality Simulator for Training in Chemical Disaster Response,Ministry of Home Affairs (MHA),,Software,Open Innovation,Develop a Virtual Reality simulator to train NDRF personnel in handling chemical disasters replicating realistic environments allowing trainees to practice critical skills without real-world danger supporting multi-user training performance evaluation and scenario customization.,true,,204
Structural Stability Assessment Tool for Collapsed Structures,Ministry of Home Affairs (MHA),,Software,Open Innovation,Develop a mobile or simulation-based tool to assess structural stability of collapsed buildings during disaster scenarios helping determine safe entry points estimate load-bearing capacity and identify hazards with GIS integration photo upload and offline functionality.,true,,205
Integrated Wearable Device for Real-Time Monitoring of Vital Parameters Gas Exposure and Fatigue,Ministry of Home Affairs (MHA),,Hardware,Open Innovation,Develop a wearable device for real-time monitoring of vital signs gas exposure and fatigue in rescue operations transmitting data wirelessly providing alerts and storing data for post-operation analysis to improve responder safety in hazardous environments.,true,,206
Development of Radar-Based Living Person Detection System for Use Under the Rubble,Ministry of Home Affairs (MHA),,Hardware,Open Innovation,Develop a portable radar-based system to detect living persons trapped under rubble after disasters effective in various conditions capable of detecting vital signs through debris to aid rescue operations with rapid and accurate life detection.,true,,207
Low-Cost Decentralized Smart Air Purification and Monitoring System for Delhi-NCR,AICTE,,Hardware,Waste Management,Design and develop a low-cost decentralized smart air purification and monitoring system for the Delhi-NCR region measuring air pollutants identifying pollution sources and providing localized air purification using IoT-enabled adaptive filters.,true,,208
AI-Driven Pollution Source Identification Forecasting and Policy Dashboard for Delhi-NCR,AICTE,,Software,Waste Management,Develop a software platform to identify pollution sources in Delhi-NCR forecast air quality and provide a policy dashboard using AI/ML satellite data and sensor data to offer insights to citizens and policymakers for evidence-based interventions.,true,,209
Cognitive Opportunistic LEO-PNT Receiver System,Ministry of Defence (MoD),,Hardware,Open Innovation,Develop a Cognitive Opportunistic LEO-PNT receiver system to utilize signals of opportunity from LEO satellites for accurate positioning navigation and timing services overcoming vulnerabilities of traditional PNT systems by leveraging signals from various mega-constellations.,true,,210
Screening Tool for Early Detection of Neurological Conditions,Ministry of Science and Technology,,Software,Health,Develop a low-cost accessible screening tool for early detection of neurological conditions like Parkinson's and Alzheimer's that is non-invasive easy to use by primary healthcare workers and functions in resource-limited settings providing actionable referral outputs.,true,,211
Mobile-based EHR Companion for ASHA Workers in Low-Internet Areas,Ministry of Science and Technology,,Software,Health,Develop a mobile application for ASHA workers in rural India to manage electronic health records in areas with limited internet connectivity functioning offline storing data securely syncing automatically when internet is available and supporting local languages and voice input.,true,,212
Digital Contact Tracing and Screening Tool for MDR Pathogens in Hospitals,Ministry of Science and Technology,,Software,Health,Develop a digital solution to trace contacts and screen for Multi-Drug Resistant pathogens in hospitals leveraging hospital data patient interactions and real-time inputs to identify potential outbreaks early and suggest containment protocols.,true,,213
VR and Eye-Tracking Solution to Capture Customer Reactions for EV Product Design,Ministry of Science and Technology,,Hardware,Open Innovation,Create a VR experience with eye-tracking to capture customer reactions to EV designs gathering data on gaze patterns and attention to improve ergonomics aesthetics and user experience simulating EV models and generating heatmaps and analytics.,true,,214
Digital Twin for CO2 Capture in Urban Settings,Ministry of Science and Technology,,Software,Waste Management,Create a digital twin for an urban area to simulate CO2 emissions dispersion and capture methods designing a software prototype that models CO2 flow integrates sensor data and evaluates different capture strategies to support urban planning.,true,,215
Rare-Earth-Free High-Efficiency Motors,Ministry of Science and Technology,,Hardware,Open Innovation,Develop high-efficiency electric motors that do not rely on rare-earth magnets creating a motor with comparable or superior performance using alternative materials and designs with students expected to design and validate a prototype motor concept.,true,,216
Stealth Coating for Defense Assets,Ministry of Science and Technology,,Hardware,Open Innovation,Develop an indigenous cost-effective stealth coating for defense assets to reduce radar cross-section and infrared signatures that is durable weather-resistant and field-deployable with a lab-scale formulation demonstrating effectiveness.,true,,217
Low-Cost Hydrogen Storage Cylinder,Ministry of Science and Technology,,Hardware,Open Innovation,Design a cost-effective lightweight and safe hydrogen storage cylinder to promote hydrogen as a clean energy source utilizing new materials or fabrication techniques to reduce costs and meet safety standards.,true,,218
AI Tool for Early-Stage Dementia Detection,Ministry of Science and Technology,,Software,Health,Develop an AI-based screening tool to detect early signs of dementia by analyzing speech behavior and cognitive patterns providing risk scores for clinical referral as a mobile or web-based cognitive screening application.,true,,219
Cloudburst Early Warning and Alarm System,Ministry of Science and Technology,,Software,Open Innovation,Develop a real-time early warning system for cloudbursts in hilly regions utilizing sensor networks weather radar data and AI to predict rainfall anomalies and alert local authorities and residents.,true,,220
Cryptocurrency address collection and categorization system,National Technical Research Organisation (NTRO),,Software,Open Innovation,Create a system to collect and categorize cryptocurrency addresses from various online sources associating them with suspect entities through internet scraping data storage and providing an analytical front-end for querying data and exporting results.,true,,221
Identification of URL based attacks from IP data,National Technical Research Organisation (NTRO),,Software,Open Innovation,Develop a system to identify URL-based cyberattacks using IP data detecting various attack types visualizing results allowing data export and ingesting external PCAP data for attack identification.,true,,222
